区市町名,町丁目名,地盤分類,建物倒壊危険度ランク,火災危険度ランク,総合危険度ランク,緯度,経度,最寄駅,路線
千代田区,神田西福田町,沖積低地2,3,1,2,35.691334,139.774246,新日本橋<br>神田<br>神田<br>神田<br>小伝馬町<br>神田,JR総武線快速<br>JR京浜東北線<br>JR中央線<br>JR山手線<br>東京メトロ日比谷線<br>東京メトロ銀座線
千代田区,神田練塀町,沖積低地2,1,1,1,35.70071,139.774033,秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>末広町<br>岩本町,つくばエクスプレス線<br>JR山手線<br>JR総武線<br>JR京浜東北線<br>東京メトロ日比谷線<br>東京メトロ銀座線<br>都営新宿線
千代田区,神田花岡町,沖積低地2,1,1,1,35.698803,139.773972,秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>岩本町<br>末広町,つくばエクスプレス線<br>JR京浜東北線<br>JR山手線<br>JR総武線<br>東京メトロ日比谷線<br>都営新宿線<br>東京メトロ銀座線
千代田区,神田東紺屋町,沖積低地2,2,1,1,35.692833,139.774704,岩本町<br>神田<br>小伝馬町<br>神田<br>神田<br>神田,都営新宿線<br>東京メトロ銀座線<br>東京メトロ日比谷線<br>JR京浜東北線<br>JR中央線<br>JR山手線
千代田区,神田東松下町,沖積低地2,2,1,2,35.694241,139.773575,岩本町<br>神田<br>神田<br>神田<br>神田<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原,都営新宿線<br>東京メトロ銀座線<br>JR京浜東北線<br>JR中央線<br>JR山手線<br>東京メトロ日比谷線<br>JR山手線<br>JR京浜東北線<br>JR総武線<br>つくばエクスプレス線
千代田区,神田平河町,沖積低地2,3,1,2,35.698036,139.77565,秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>岩本町<br>末広町,東京メトロ日比谷線<br>つくばエクスプレス線<br>JR京浜東北線<br>JR総武線<br>JR山手線<br>都営新宿線<br>東京メトロ銀座線
千代田区,神田松永町,沖積低地2,2,1,1,35.70031,139.775299,秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>末広町<br>岩本町,つくばエクスプレス線<br>東京メトロ日比谷線<br>JR総武線<br>JR山手線<br>JR京浜東北線<br>東京メトロ銀座線<br>都営新宿線
千代田区,神田美倉町,沖積低地2,2,1,2,35.690853,139.774506,新日本橋<br>神田<br>神田<br>神田<br>小伝馬町,JR総武線快速<br>JR山手線<br>JR中央線<br>JR京浜東北線<br>東京メトロ日比谷線
千代田区,神田美土代町,沖積低地2,2,1,1,35.693283,139.765579,淡路町<br>小川町<br>神田<br>神田<br>神田<br>神田,東京メトロ丸ノ内線<br>都営新宿線<br>東京メトロ銀座線<br>JR山手線<br>JR京浜東北線<br>JR中央線
千代田区,紀尾井町,台地2,1,1,1,35.681412,139.734955,麹町<br>赤坂見附<br>赤坂見附<br>永田町<br>永田町<br>永田町,東京メトロ有楽町線<br>東京メトロ銀座線<br>東京メトロ丸ノ内線<br>東京メトロ半蔵門線<br>東京メトロ南北線<br>東京メトロ有楽町線
千代田区,北の丸公園,台地2,1,1,1,35.691555,139.751633,九段下<br>九段下<br>九段下<br>竹橋<br>神保町<br>神保町<br>神保町,東京メトロ東西線<br>東京メトロ半蔵門線<br>都営新宿線<br>東京メトロ東西線<br>東京メトロ半蔵門線<br>都営新宿線<br>都営三田線
千代田区,九段北１丁目,谷底低地3,1,1,1,35.696655,139.750656,九段下<br>九段下<br>九段下<br>神保町<br>神保町<br>水道橋<br>水道橋<br>神保町,東京メトロ東西線<br>東京メトロ半蔵門線<br>都営新宿線<br>都営新宿線<br>東京メトロ半蔵門線<br>JR中央線<br>JR総武線<br>都営三田線
千代田区,九段北２丁目,台地2,1,1,1,35.695259,139.746353,九段下<br>九段下<br>九段下<br>飯田橋<br>飯田橋<br>飯田橋<br>飯田橋<br>飯田橋,都営新宿線<br>東京メトロ半蔵門線<br>東京メトロ東西線<br>東京メトロ東西線<br>JR総武線<br>JR中央線<br>東京メトロ有楽町線<br>東京メトロ南北線
千代田区,九段北３丁目,台地2,1,1,1,35.694172,139.742676,市ヶ谷<br>市ケ谷<br>市ヶ谷<br>市ヶ谷<br>市ケ谷,東京メトロ有楽町線<br>東京メトロ南北線<br>JR総武線<br>都営新宿線<br>JR中央線
千代田区,九段北４丁目,谷底低地2,1,1,1,35.693153,139.739044,市ヶ谷<br>市ケ谷<br>市ヶ谷<br>市ヶ谷<br>市ケ谷,東京メトロ有楽町線<br>東京メトロ南北線<br>都営新宿線<br>JR総武線<br>JR中央線
